Maquina,Rodada,Média - Uso total da CPU [%],Desvio Padrão - Uso total da CPU [%],Mediana - Uso total da CPU [%],Média - Carga do núcleo da GPU [%],Desvio Padrão - Carga do núcleo da GPU [%],Mediana - Carga do núcleo da GPU [%]
Máquina A,1,12.886666666666667,4.492512288983377,12.8,0.0,0.0,0.0
Máquina A,2,13.639285714285714,5.381885893178688,12.8,0.0,0.0,0.0
Máquina A,3,19.082371794871793,22.958370899445388,10.8,0.33974358974358976,4.533543144039276,0.0
Máquina A,4,17.90503355704698,22.354588291347213,10.45,0.0,0.0,0.0
Máquina A,5,18.918849840255593,22.311315599961777,10.4,0.18849840255591055,1.2453485175989496,0.0
Máquina A,6,16.999333333333333,22.046064564106942,9.75,0.023333333333333334,0.35099794026335723,0.0
Máquina A,7,17.565359477124183,21.65102449478156,10.1,0.06862745098039216,0.5882979715884804,0.0
Máquina A,8,18.246052631578948,21.810697352912015,10.5,0.19078947368421054,1.6095160604764822,0.0
Máquina A,9,19.627156549520766,23.113876338443863,10.8,0.08306709265175719,1.0887540744294428,0.0
Máquina A,10,18.72218649517685,22.581280922636843,10.5,0.2057877813504823,2.059462490157651,0.0
Máquina A,11,17.99055374592834,22.701025185299564,10.3,0.0749185667752443,0.7739147429107881,0.0
Máquina A,12,18.29339933993399,21.961465861300915,10.8,0.0033003300330033004,0.05744849896214261,0.0
Máquina A,13,18.856656346749226,22.010983508158887,10.6,0.18885448916408668,1.3530272891632555,0.0
Máquina A,14,17.63578595317726,21.448750146648614,10.8,0.0,0.0,0.0
Máquina A,15,22.072049689440995,22.428471867312307,13.3,0.3416149068322981,3.557459960630687,0.0
Máquina A,16,18.3244966442953,22.477828295840666,10.75,0.0,0.0,0.0
Máquina A,17,17.985333333333333,22.73195528014292,10.350000000000001,0.0,0.0,0.0
Máquina A,18,22.681311475409835,23.425729744531925,14.6,0.0,0.0,0.0
Máquina A,19,20.657565789473683,23.793832756060546,10.8,0.14802631578947367,1.5094190692772942,0.0
Máquina A,20,18.437710437710436,22.27692249439486,10.8,0.013468013468013467,0.18330789290639837,0.0
Máquina B,1,22.879024390243902,20.79066766096312,15.8,0.0,0.0,0.0
Máquina B,2,17.711627906976744,24.123727945033703,9.649999999999999,0.0,0.0,0.0
Máquina B,3,19.371270718232044,22.897361639345508,10.2,0.0,0.0,0.0
Máquina B,4,17.551190476190477,22.890530919135724,9.7,0.0,0.0,0.0
Máquina B,5,17.752352941176472,23.07030982917959,10.0,0.0,0.0,0.0
Máquina B,6,19.628235294117648,23.262576858002785,10.4,0.0,0.0,0.0
Máquina B,7,19.10919540229885,25.218733894334854,9.7,0.0,0.0,0.0
Máquina B,8,19.470949720670394,25.294111423184425,9.8,0.0,0.0,0.0
Máquina B,9,16.913829787234043,22.601171712864843,8.95,0.0,0.0,0.0
Máquina B,10,17.515384615384615,23.429105322023638,9.2,0.0,0.0,0.0
Máquina B,11,20.578823529411764,23.81564596416749,10.3,0.0,0.0,0.0
Máquina B,12,19.7093567251462,23.848640981040973,10.8,0.0,0.0,0.0
Máquina B,13,17.344117647058823,23.075456250516677,9.6,0.0,0.0,0.0
Máquina B,14,18.27810650887574,24.1468189014623,9.6,0.0,0.0,0.0
Máquina B,15,19.414525139664807,23.362437708856653,10.3,0.0,0.0,0.0
Máquina B,16,17.333532934131735,23.212391816198696,9.6,0.0,0.0,0.0
Máquina B,17,17.98187134502924,23.979743142564107,9.8,0.0,0.0,0.0
Máquina B,18,17.52754491017964,23.270620250173618,9.7,0.0,0.0,0.0
Máquina B,19,16.908982035928144,22.96852436723154,9.6,0.0,0.0,0.0
Máquina B,20,17.52603550295858,23.937511089614116,9.7,0.0,0.0,0.0
