Maquina,Rodada,Single_Core,Multi_Core
A,1,2221,7767
A,2,2209,7857
A,3,2227,8116
A,4,2225,8235
A,5,2219,8273
A,6,2219,8225
A,7,2223,8256
A,8,2228,8167
A,9,2234,8030
A,10,2227,8247
A,11,2203,8199
A,12,2226,8170
A,13,2203,8190
A,14,2226,8148
A,15,2139,7988
A,16,2212,8065
A,17,2198,8134
A,18,2214,7993
A,19,2231,8065
A,20,2240,8205
B,1,1824,6057
B,2,1871,6140
B,3,1595,5692
B,4,1888,6300
B,5,1894,6288
B,6,1859,6288
B,7,1904,5927
B,8,1893,5944
B,9,1894,6095
B,10,1876,6127
B,11,1862,6152
B,12,1868,6162
B,13,1859,6272
B,14,1873,6174
B,15,1590,5890
B,16,1904,6190
B,17,1877,6035
B,18,1910,6194
B,19,1902,6211
B,20,1896,6016
F,1,2822,14255
F,2,2817,14258
F,3,2810,14273
F,4,2814,14117
F,5,2800,13913
F,6,2807,13953
F,7,2814,14222
F,8,2824,14306
F,9,2811,14484
F,10,2815,14221
F,11,2816,14301
F,12,2816,14266
F,13,2820,14284
F,14,2826,14230
F,15,2805,14213
F,16,2823,14181
F,17,2809,14237
F,18,2817,14296
F,19,2809,14195
F,20,2815,14171
