rodada,clock_nucleo_mhz_media,clock_nucleo_mhz_max,clock_efetivo_nucleo_mhz_media,clock_efetivo_nucleo_mhz_max,clock_gpu_mhz_media,clock_gpu_mhz_max,uso_cpu_pct_media,uso_cpu_pct_max,carga_nucleo_gpu_pct_media,carga_nucleo_gpu_pct_max,carga_memoria_fisica_pct_media,carga_memoria_fisica_pct_max,uso_memoria_gpu_pct_media,uso_memoria_gpu_pct_max,temp_cpu_c_media,temp_cpu_c_max,temp_nucleo_max_c_media,temp_nucleo_max_c_max,temp_gpu_c_media,temp_gpu_c_max,throttling_termico_nucleo_pct_tempo,limite_termico_gpu_c_media,limite_termico_gpu_c_max,potencia_cpu_w_media,potencia_cpu_w_max,potencia_linhas_gpu_w_media,potencia_linhas_gpu_w_max,limite_pl1_atingido_pct_tempo,limite_desempenho_termico_pct_tempo,clock_memoria_mhz_media,clock_memoria_mhz_max,taxa_leitura_mb_s_media,taxa_leitura_mb_s_max,taxa_gravacao_mb_s_media,taxa_gravacao_mb_s_max,arquivo_origem
1,,,,,,,21.773,100.0,,,,,,,,,,,,,,,,,,,,,,,,4.892,248.758,,,maqE_rodada_01.csv
2,,,,,,,18.15,100.0,,,,,,,,,,,,,,,,,,,,,,,,1.332,126.886,,,maqE_rodada_02.CSV
3,,,,,,,18.261,100.0,,,,,,,,,,,,,,,,,,,,,,,,0.056,9.674,,,maqE_rodada_03.CSV
4,,,,,,,17.626,100.0,,,,,,,,,,,,,,,,,,,,,,,,0.055,11.651,,,maqE_rodada_04.CSV
5,,,,,,,16.932,100.0,,,,,,,,,,,,,,,,,,,,,,,,0.441,59.6,,,maqE_rodada_05.CSV
6,,,,,,,17.238,100.0,,,,,,,,,,,,,,,,,,,,,,,,2.204,246.718,,,maqE_rodada_06.CSV
7,,,,,,,16.762,100.0,,,,,,,,,,,,,,,,,,,,,,,,0.003,0.285,,,maqE_rodada_07.CSV
8,,,,,,,17.166,100.0,,,,,,,,,,,,,,,,,,,,,,,,0.065,14.682,,,maqE_rodada_08.CSV
9,,,,,,,17.531,100.0,,,,,,,,,,,,,,,,,,,,,,,,0.053,10.375,,,maqE_rodada_09.CSV
10,,,,,,,17.508,100.0,,,,,,,,,,,,,,,,,,,,,,,,0.004,0.482,,,maqE_rodada_10.CSV
11,,,,,,,16.635,100.0,,,,,,,,,,,,,,,,,,,,,,,,2.646,157.836,,,maqE_rodada_11.CSV
12,,,,,,,16.206,100.0,,,,,,,,,,,,,,,,,,,,,,,,0.088,8.944,,,maqE_rodada_12.CSV
13,,,,,,,16.312,100.0,,,,,,,,,,,,,,,,,,,,,,,,0.743,38.862,,,maqE_rodada_13.CSV
14,,,,,,,16.306,100.0,,,,,,,,,,,,,,,,,,,,,,,,0.036,2.302,,,maqE_rodada_14.CSV
15,,,,,,,16.12,100.0,,,,,,,,,,,,,,,,,,,,,,,,0.331,45.988,,,maqE_rodada_15.CSV
16,,,,,,,16.536,100.0,,,,,,,,,,,,,,,,,,,,,,,,0.024,4.338,,,maqE_rodada_16.CSV
17,,,,,,,17.116,100.0,,,,,,,,,,,,,,,,,,,,,,,,0.13,7.828,,,maqE_rodada_17.CSV
18,,,,,,,17.569,100.0,,,,,,,,,,,,,,,,,,,,,,,,0.41,20.861,,,maqE_rodada_18.CSV
19,,,,,,,17.047,100.0,,,,,,,,,,,,,,,,,,,,,,,,0.128,17.627,,,maqE_rodada_19.CSV
20,,,,,,,16.529,100.0,,,,,,,,,,,,,,,,,,,,,,,,0.269,34.576,,,maqE_rodada_20.CSV
